시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
세포주확인시험,자가지시(C01 barcode assay),햄스터 유래 세포주로 확인되어야 함,2025.01,적합,검수합격
세포성장 및 증식확인시험,자가지시(세포배양법),자사의 세포 배양법에 따름.,2025.03,3.00 x 10^6 cells/mL 및 83%,검수불합격
세포형태확인시험,자가지시(현미경관찰법),자사의 현미경관찰법에 따름,2025.03,세포가 뭉치지 않음.,검수합격
무균시험,유럽약전(직접법),균이 확인되지 않아야 함,2025.01,적합,검수합격
마이코플라스마부정시험,유럽약전(배양법),마이코플라스마가 확인되지 않아야 함,2025.01,적합,검수합격
전자현미경시험,자가지시(전자현미경시험법),자사의 전자현미경시험법에 따름,2025.01,바이러스가 관찰됨.,검수불합격
소유래플라스마부정시험,자가지시(세포배양접종법),자사의 소유래 바이러스 부정 시험법에 따름.,2025.01,바이러스 오염 확인,검수불합격
돼지유래플라스마부정시험,자가지시(세포배양접종법),자사의 돼지 유래 바이러스 부정 시험법에 따름.,2025.01,바이러스 오염이 확인되지 않음,검수합격
외래성인자부정시험(PCR),자가지시(외래성 인자 부정시험(PCR)),자사의 외래성인자부정시험법에 따름,2025.01,적합,검수합격
성숙마우스접종시험,자가지시(동물접종 시험),자사의 동물 접종 시험 법에 따름,2025.01,85%,검수합격
영아마우스접종시험,자가지시(동물접종 시험),자사의 동물 접종 시험 법에 따름,2025.01,85%,검수합격
유정란접종시험,자가지시(유정란 접종시험),"-요막강 내 접종: 배양 후 생존률이 90%
이상이어야 하고, 혈구응집반응이
없어야 함
-난황낭 접종: 배양 후 생존률이 60%
이상이어야 함",2025.01,"요막강 생존률 85% 및 이상 증상 없음, 난황낭 생존률 70%",검수불합격
외래성인자부정시험(in vitvo),자가지시(세포배양법),"혈구흡착 및 적혈구응집반응 검사 시 음성이어야 함,
세포병변 관찰 시 음성이어야 함",2025.01,적합,검수합격
레트로바이러스부정시험,"자가지시(PERT assay, co-cultivation assay, focus
forming assay, 전자현미경 확인시험)",자사의 레트로 바이러스 부정시험법에 따름,2025.01,적합,검수합격
HAP시험,"자가지시(◻ ELISA, ◻ IFA)",자사의 HAP 시험법에 따름,2025.01,바이러스의 항체의 형성이 확인,검수불합격
MAP시험,"자가지시(◻ ELISA, ◻ IFA, ◻ LDH activity,
◻ LCMW challenge)",자사의 MAP 시험법에 따름,2025.01,바이러스의 항체의 형성이 확인되지 않음,검수합격
염기서열분석시험,자가지시(염기서열분석법),자사의 염기 분석법에 따름,2025.01,염기 서열과 일치,검수불합격
결핵균부정시험,유럽약전(배양법),음성이어야 함,2025.01,적합,검수합격
